"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 26 19:48:21 MSK 2024","Sun May 26 19:48:43 MSK 2024","22102","firefox","","","","","Select and Remove featured products",""
"failed","Sun Jun 02 14:12:47 MSK 2024","Sun Jun 02 14:12:49 MSK 2024","1098","chromium","","","","","Select and Remove featured products",""
"passed","Sun May 26 19:47:41 MSK 2024","Sun May 26 19:48:21 MSK 2024","40233","firefox","","","","","Add stuff to specials",""
"passed","Sun May 26 19:47:41 MSK 2024","Sun May 26 19:48:35 MSK 2024","54080","chromium","","","","","Use filters in laptop page",""
"passed","Sun May 26 19:48:18 MSK 2024","Sun May 26 19:48:55 MSK 2024","37331","firefox","","","","","Use filters in laptop page",""
"broken","Sun Jun 02 11:41:57 MSK 2024","Sun Jun 02 11:45:17 MSK 2024","200523","chromium","","","","","проверка удаления из корзины",""
"failed","Sun Jun 02 14:12:46 MSK 2024","Sun Jun 02 14:12:47 MSK 2024","1112","chromium","","","","","Add stuff to specials",""
"passed","Sun Jun 02 11:38:35 MSK 2024","Sun Jun 02 11:39:24 MSK 2024","48963","firefox","","","","","проверка добавления в корзину",""
"passed","Sun May 26 19:48:37 MSK 2024","Sun May 26 19:48:59 MSK 2024","21909","firefox","","","","","проверка истории",""
"passed","Sun Jun 02 11:39:24 MSK 2024","Sun Jun 02 11:39:35 MSK 2024","10529","firefox","","","","","проверка удаления из корзины",""
"broken","Sun Jun 02 11:38:35 MSK 2024","Sun Jun 02 11:41:56 MSK 2024","200775","chromium","","","","","проверка добавления в корзину",""
"passed","Sun May 26 19:47:41 MSK 2024","Sun May 26 19:48:16 MSK 2024","35016","chromium","","","","","проверка истории",""
